TIME_PERIOD,value
2020Q1,-1.8
2020Q2,20.9
2020Q3,6.6
2020Q4,-3.0
2021Q1,3.0
2021Q2,0.1
2021Q3,-2.3
2021Q4,2.9
2022Q1,-4.9
2022Q2,-3.3
2022Q3,0.0
2022Q4,2.7
2023Q1,0.7
2023Q2,3.4
2023Q3,4.7
2023Q4,3.5
2024Q1,1.6
2024Q2,2.1
2024Q3,2.9
2024Q4,1.7
2025Q1,-1.8
2025Q2,3.3
