TIME_PERIOD,value
2020Q1,8.2
2020Q2,30.1
2020Q3,-10.0
2020Q4,7.6
2021Q1,-3.5
2021Q2,-1.5
2021Q3,-1.0
2021Q4,-2.7
2022Q1,-7.0
2022Q2,-8.8
2022Q3,1.9
2022Q4,-3.5
2023Q1,0.1
2023Q2,3.5
2023Q3,2.2
2023Q4,1.9
2024Q1,6.1
2024Q2,-1.6
2024Q3,-0.1
2024Q4,2.4
2025Q1,1.2
2025Q2,2.6
