INDICATOR,COUNTRY,FREQUENCY,LATEST_ACTUAL_ANNUAL_DATA,OVERLAP,SCALE,METHODOLOGY,METHODOLOGY_NOTES,TIME_PERIOD,value
PCPI,ITA,A,2024,OL,0,CPI,Source: National Statistics Office. Data available from 1982 only Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2009,91.075
PCPI,ITA,A,2024,OL,0,CPI,Source: National Statistics Office. Data available from 1982 only Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2010,92.55
PCPI,ITA,A,2024,OL,0,CPI,Source: National Statistics Office. Data available from 1982 only Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2011,95.267
PCPI,ITA,A,2024,OL,0,CPI,Source: National Statistics Office. Data available from 1982 only Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2012,98.425
PCPI,ITA,A,2024,OL,0,CPI,Source: National Statistics Office. Data available from 1982 only Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2013,99.65
PCPI,ITA,A,2024,OL,0,CPI,Source: National Statistics Office. Data available from 1982 only Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2014,99.883
PCPI,ITA,A,2024,OL,0,CPI,Source: National Statistics Office. Data available from 1982 only Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2015,99.992
PCPI,ITA,A,2024,OL,0,CPI,Source: National Statistics Office. Data available from 1982 only Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2016,99.942
PCPI,ITA,A,2024,OL,0,CPI,Source: National Statistics Office. Data available from 1982 only Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2017,101.267
PCPI,ITA,A,2024,OL,0,CPI,Source: National Statistics Office. Data available from 1982 only Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2018,102.525
PCPI,ITA,A,2024,OL,0,CPI,Source: National Statistics Office. Data available from 1982 only Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2019,103.175
PCPI,ITA,A,2024,OL,0,CPI,Source: National Statistics Office. Data available from 1982 only Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2020,103.025
PCPI,ITA,A,2024,OL,0,CPI,Source: National Statistics Office. Data available from 1982 only Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2021,105.025
PCPI,ITA,A,2024,OL,0,CPI,Source: National Statistics Office. Data available from 1982 only Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2022,114.2
PCPI,ITA,A,2024,OL,0,CPI,Source: National Statistics Office. Data available from 1982 only Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2023,120.942
PCPI,ITA,A,2024,OL,0,CPI,Source: National Statistics Office. Data available from 1982 only Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2024,122.258
PCPI,ITA,A,2024,OL,0,CPI,Source: National Statistics Office. Data available from 1982 only Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2025,124.346
PCPI,ITA,A,2024,OL,0,CPI,Source: National Statistics Office. Data available from 1982 only Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2026,126.782
PCPI,ITA,A,2024,OL,0,CPI,Source: National Statistics Office. Data available from 1982 only Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2027,129.318
PCPI,ITA,A,2024,OL,0,CPI,Source: National Statistics Office. Data available from 1982 only Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2028,131.904
PCPI,ITA,A,2024,OL,0,CPI,Source: National Statistics Office. Data available from 1982 only Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2029,134.542
PCPI,ITA,A,2024,OL,0,CPI,Source: National Statistics Office. Data available from 1982 only Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2030,137.233
