INDICATOR,COUNTRY,FREQUENCY,LATEST_ACTUAL_ANNUAL_DATA,OVERLAP,SCALE,METHODOLOGY,METHODOLOGY_NOTES,TIME_PERIOD,value
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2012,98.33
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2013,99.303
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2014,99.909
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2015,99.998
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2016,100.305
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2017,101.474
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2018,103.604
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2019,104.949
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2020,105.503
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2021,107.683
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2022,114.04
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2023,120.498
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2024,123.29
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2025,124.892
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2026,126.941
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2027,129.31
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2028,131.809
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2029,134.304
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2030,136.91
