INDICATOR,COUNTRY,FREQUENCY,LATEST_ACTUAL_ANNUAL_DATA,OVERLAP,SCALE,METHODOLOGY,METHODOLOGY_NOTES,TIME_PERIOD,value
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2011,119.858
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2012,121.675
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2013,122.817
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2014,125.158
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2015,126.567
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2016,128.375
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2017,130.425
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2018,133.383
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2019,135.983
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2020,136.958
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2021,141.608
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2022,151.208
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2023,157.083
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2024,160.85
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2025,164.037
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2026,167.527
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2027,170.885
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2028,174.308
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2029,177.845
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2030,181.41
