INDICATOR,COUNTRY,FREQUENCY,LATEST_ACTUAL_ANNUAL_DATA,OVERLAP,SCALE,METHODOLOGY,METHODOLOGY_NOTES,TIME_PERIOD,value
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,2010,218.076
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,2011,224.923
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,2012,229.586
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,2013,232.952
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,2014,236.715
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,2015,237.002
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,2016,240.005
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,2017,245.121
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,2018,251.1
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,2019,255.653
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,2020,258.856
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,2021,270.968
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,2022,292.625
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,2023,304.704
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,2024,313.698
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,2025,323.07
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,2026,331.035
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,2027,338.021
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,2028,345.307
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,2029,352.797
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,2030,360.47
